epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6622.25,2.13803,2.20831,0.00756,0.45264,0.39239,0.36955,0.14429,2.03177,2.03654,0.00844,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6826.77,2.13449,2.16762,0.00759,0.46434,0.39817,0.38011,0.15001,2.02476,2.01916,0.00844,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,7030.83,2.13938,2.12781,0.00756,0.47679,0.40121,0.39108,0.15638,2.03062,1.97585,0.00855,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7235.25,2.12822,2.12537,0.00749,0.46466,0.4081,0.3878,0.15697,2.02892,1.9913,0.00857,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7439.07,2.12434,2.0896,0.00751,0.4774,0.41456,0.39484,0.1613,2.00525,1.96395,0.00834,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7642.72,2.11548,2.05046,0.00743,0.48221,0.40738,0.39517,0.15862,2.03671,1.94095,0.00855,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7847.63,2.11649,2.04236,0.00736,0.50266,0.42373,0.41203,0.16897,2.0067,1.91122,0.0083,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8051.68,2.10603,2.00429,0.00739,0.51255,0.42773,0.42509,0.17489,2.00903,1.88843,0.00839,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8256.63,2.10084,1.97159,0.00735,0.51766,0.43426,0.43463,0.18336,2.0032,1.85211,0.00836,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8462.13,2.07819,1.95489,0.00725,0.52409,0.44034,0.43688,0.18634,1.98407,1.84552,0.00822,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8667.72,2.08179,1.96331,0.00718,0.52476,0.45118,0.45183,0.19093,1.994,1.82297,0.00818,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8872.73,2.07782,1.92417,0.00725,0.54143,0.44045,0.45368,0.19264,1.99503,1.78367,0.0082,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9077.97,2.07206,1.88961,0.00718,0.53925,0.45011,0.45682,0.19652,1.99056,1.77436,0.00821,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9282.7,2.06101,1.84042,0.00712,0.57361,0.44699,0.47271,0.20415,1.97817,1.75485,0.00807,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9488.36,2.05634,1.84446,0.00716,0.56027,0.4657,0.48174,0.21306,1.96915,1.71473,0.00799,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9693.35,2.04356,1.80338,0.0071,0.57309,0.46431,0.48659,0.21421,1.96378,1.7033,0.00799,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9900.16,2.04396,1.7813,0.00705,0.57602,0.45957,0.48131,0.21096,1.98196,1.72013,0.00816,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10105.4,2.03836,1.77577,0.007,0.57078,0.48062,0.4942,0.21873,1.96797,1.68516,0.00808,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10311.3,2.02419,1.75798,0.00699,0.58491,0.46815,0.4963,0.22218,1.94908,1.68032,0.00795,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10516.8,2.02568,1.72002,0.00693,0.58547,0.48296,0.50563,0.22857,1.94941,1.64606,0.00792,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,10722.2,2.02237,1.70212,0.00687,0.59334,0.48861,0.51461,0.23597,1.93521,1.62641,0.00784,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,10926.6,2.01566,1.67845,0.00685,0.6002,0.48948,0.51459,0.23424,1.9435,1.61905,0.00792,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11130.9,2.00984,1.67341,0.00692,0.61056,0.48256,0.52066,0.24199,1.92235,1.60402,0.00783,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,11335.8,2.01166,1.64929,0.00679,0.60577,0.49169,0.52138,0.23927,1.93493,1.59117,0.00783,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,11541.4,1.98159,1.64517,0.00678,0.61005,0.49957,0.52568,0.24594,1.90978,1.59121,0.00769,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,11747.5,1.98015,1.61182,0.00675,0.6142,0.49459,0.52598,0.24663,1.91377,1.57973,0.00769,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
